class,class_id,cluster_id,size,prototypes,iterations,max_similarity,min_selected_similarity
negative,0,0,398,20,30,0.9871684312820435,0.9728394150733948
negative,0,1,759,20,30,0.9978896975517273,0.9952741861343384
negative,0,2,1480,20,30,0.9984619617462158,0.9974067211151123
positive,1,0,232,20,19,0.99791020154953,0.9944553971290588
positive,1,1,32,20,19,0.9850597381591797,0.9382984042167664
positive,1,2,652,20,19,0.9995531439781189,0.9991665482521057
