class,class_id,cluster_id,size,prototypes,iterations,max_similarity,min_selected_similarity
negative,0,0,613,20,22,0.9948873519897461,0.9910047054290771
negative,0,1,371,20,22,0.9868519902229309,0.978562593460083
negative,0,2,1653,20,22,0.9971949458122253,0.9955570697784424
positive,1,0,26,20,18,0.9743394255638123,0.8717833161354065
positive,1,1,135,20,18,0.9952455759048462,0.9901827573776245
positive,1,2,755,20,18,0.9992640018463135,0.9989013671875
