class,class_id,cluster_id,size,prototypes,iterations,max_similarity,min_selected_similarity
negative,0,0,790,20,39,0.9954874515533447,0.9925739765167236
negative,0,1,1503,20,39,0.9965437650680542,0.9952893257141113
negative,0,2,344,20,39,0.9899563193321228,0.9753934144973755
positive,1,0,33,20,16,0.9879105091094971,0.9485602974891663
positive,1,1,212,20,16,0.9974910616874695,0.994719386100769
positive,1,2,671,20,16,0.9992684721946716,0.9988800287246704
