model,scenario,degradation,level,auc,pr_auc,f1,threshold,validation_f1
PBIP,clean,clean,0,0.9954222290419927,0.9882655511900087,0.9430051813471503,0.8258681297302246,0.9252336448598131
PBIP,degraded,low_contrast,3,0.9880313027466626,0.9766035637085597,0.9375,0.8258681297302246,0.9252336448598131
PBIP,degraded,gaussian_noise,3,0.994834023835098,0.9863949250358623,0.9326424870466321,0.8258681297302246,0.9252336448598131
PBIP,degraded,gaussian_blur,3,0.9956012480180041,0.9881527722211735,0.9489795918367347,0.8258681297302246,0.9252336448598131
PBIP,degraded,window_shift,3,0.9928392409595417,0.986401224240043,0.9424083769633508,0.8258681297302246,0.9252336448598131
PBIP,degraded,jpeg,3,0.9953455066237021,0.9875031263528837,0.9375,0.8258681297302246,0.9252336448598131
PBIP,degraded,resample,3,0.9961638790854688,0.9894998499545961,0.9479166666666666,0.8258681297302246,0.9252336448598131
PBIP,degraded_macro,six_type_mean,3,0.9938025335447462,0.9857592435855197,0.9411578537522307,0.8258681297302246,0.9252336448598131
Robust-PBIP,clean,clean,0,0.9956779704362948,0.9872805104178458,0.8878504672897196,0.0701618418097496,0.9217391304347825
Robust-PBIP,degraded,low_contrast,3,0.9934274461664365,0.982800153005647,0.8785046728971962,0.0701618418097496,0.9217391304347825
Robust-PBIP,degraded,gaussian_noise,3,0.9960871566671782,0.9884555815163163,0.8940092165898618,0.0701618418097496,0.9217391304347825
Robust-PBIP,degraded,gaussian_blur,3,0.9961638790854688,0.987772315863872,0.9047619047619048,0.0701618418097496,0.9217391304347825
Robust-PBIP,degraded,window_shift,3,0.9950897652294,0.9863683564619902,0.892018779342723,0.0701618418097496,0.9217391304347825
Robust-PBIP,degraded,jpeg,3,0.9960871566671781,0.9874339997753353,0.8962264150943396,0.0701618418097496,0.9217391304347825
Robust-PBIP,degraded,resample,3,0.9962661756431895,0.9879594138241341,0.9082125603864735,0.0701618418097496,0.9217391304347825
Robust-PBIP,degraded_macro,six_type_mean,3,0.9955202632431418,0.9867983034078825,0.8956222581787499,0.0701618418097496,0.9217391304347825
