threshold,fps_per_scan,sensitivity
0.1,0.3333333333333333,0.9897959183673469
0.15000000000000002,0.27586206896551724,0.9897959183673469
0.20000000000000004,0.21839080459770116,0.9795918367346939
0.25000000000000006,0.16091954022988506,0.9795918367346939
0.30000000000000004,0.13793103448275862,0.9795918367346939
0.3500000000000001,0.11494252873563218,0.9693877551020408
0.40000000000000013,0.09195402298850575,0.9591836734693877
0.45000000000000007,0.09195402298850575,0.9591836734693877
0.5000000000000001,0.08045977011494253,0.9591836734693877
0.5500000000000002,0.08045977011494253,0.9591836734693877
0.6000000000000002,0.08045977011494253,0.9591836734693877
0.6500000000000001,0.08045977011494253,0.9489795918367347
0.7000000000000002,0.08045977011494253,0.9489795918367347
0.7500000000000002,0.05747126436781609,0.9489795918367347
0.8000000000000002,0.05747126436781609,0.9489795918367347
0.8500000000000002,0.04597701149425287,0.9489795918367347
0.9000000000000002,0.022988505747126436,0.8877551020408163
