fpr,tpr,threshold
0.0,0.0,inf
0.0,0.01020408163265306,0.99999833
0.0,0.7346938775510204,0.9840583
0.002506265664160401,0.7346938775510204,0.98072964
0.002506265664160401,0.8673469387755102,0.9513619
0.005012531328320802,0.8673469387755102,0.9479778
0.005012531328320802,0.9081632653061225,0.90687025
0.010025062656641603,0.9081632653061225,0.8891413
0.010025062656641603,0.9387755102040817,0.7464682
0.012531328320802004,0.9387755102040817,0.72876906
0.012531328320802004,0.9489795918367347,0.70852584
0.015037593984962405,0.9489795918367347,0.66571367
0.015037593984962405,0.9591836734693877,0.6237268
0.02506265664160401,0.9591836734693877,0.5174504
0.02506265664160401,0.9795918367346939,0.45315412
0.040100250626566414,0.9795918367346939,0.22557814
0.040100250626566414,0.9897959183673469,0.1929649
0.2957393483709273,0.9897959183673469,0.00493328
0.2957393483709273,1.0,0.0048665926
1.0,1.0,3.360551e-05
