threshold,false_positives,fp_per_scan,true_positives,sensitivity
inf,0,0.0,0,0.0
0.9999983310699463,0,0.0,1,0.01020408163265306
0.9999972581863403,0,0.0,2,0.02040816326530612
0.9999964237213135,0,0.0,3,0.030612244897959183
0.9999923706054688,0,0.0,4,0.04081632653061224
0.9999898672103882,0,0.0,5,0.05102040816326531
0.9999897480010986,0,0.0,6,0.061224489795918366
0.9999881982803345,0,0.0,7,0.07142857142857142
0.9999876022338867,0,0.0,8,0.08163265306122448
0.9999841451644897,0,0.0,9,0.09183673469387756
0.9999839067459106,0,0.0,10,0.10204081632653061
0.9999815225601196,0,0.0,11,0.11224489795918367
0.9999765157699585,0,0.0,12,0.12244897959183673
0.999968409538269,0,0.0,13,0.1326530612244898
0.9999651908874512,0,0.0,14,0.14285714285714285
0.9999603033065796,0,0.0,15,0.15306122448979592
0.9999470710754395,0,0.0,16,0.16326530612244897
0.9999411106109619,0,0.0,17,0.17346938775510204
0.9999402761459351,0,0.0,18,0.1836734693877551
0.999923586845398,0,0.0,19,0.19387755102040816
0.9999102354049683,0,0.0,20,0.20408163265306123
0.9999016523361206,0,0.0,21,0.21428571428571427
0.9998883008956909,0,0.0,22,0.22448979591836735
0.9998716115951538,0,0.0,23,0.23469387755102042
0.9998700618743896,0,0.0,24,0.24489795918367346
0.9998693466186523,0,0.0,25,0.25510204081632654
0.9998540878295898,0,0.0,26,0.2653061224489796
0.9998456239700317,0,0.0,27,0.2755102040816326
0.9997997879981995,0,0.0,28,0.2857142857142857
0.9997404217720032,0,0.0,29,0.29591836734693877
0.9997401833534241,0,0.0,30,0.30612244897959184
0.999701201915741,0,0.0,31,0.3163265306122449
0.9996880292892456,0,0.0,32,0.32653061224489793
0.9996730089187622,0,0.0,33,0.336734693877551
0.9996650218963623,0,0.0,34,0.3469387755102041
0.9995744824409485,0,0.0,35,0.35714285714285715
0.9995692372322083,0,0.0,36,0.3673469387755102
0.9994860887527466,0,0.0,37,0.37755102040816324
0.9994712471961975,0,0.0,38,0.3877551020408163
0.9993884563446045,0,0.0,39,0.3979591836734694
0.9992520213127136,0,0.0,40,0.40816326530612246
0.999114453792572,0,0.0,41,0.41836734693877553
0.9990209341049194,0,0.0,42,0.42857142857142855
0.99872225522995,0,0.0,43,0.4387755102040816
0.9984456896781921,0,0.0,44,0.4489795918367347
0.9983440637588501,0,0.0,45,0.45918367346938777
0.9980864524841309,0,0.0,46,0.46938775510204084
0.9980150461196899,0,0.0,47,0.47959183673469385
0.9978083968162537,0,0.0,48,0.4897959183673469
0.9977529644966125,0,0.0,49,0.5
0.9976874589920044,0,0.0,50,0.5102040816326531
0.9975478053092957,0,0.0,51,0.5204081632653061
0.9972841739654541,0,0.0,52,0.5306122448979592
0.9972773194313049,0,0.0,53,0.5408163265306123
0.9971899390220642,0,0.0,54,0.5510204081632653
0.9969720840454102,0,0.0,55,0.5612244897959183
0.996793806552887,0,0.0,56,0.5714285714285714
0.9956182241439819,0,0.0,57,0.5816326530612245
0.9954124093055725,0,0.0,58,0.5918367346938775
0.9938074946403503,0,0.0,59,0.6020408163265306
0.9932896494865417,0,0.0,60,0.6122448979591837
0.9921936988830566,0,0.0,61,0.6224489795918368
0.9917452931404114,0,0.0,62,0.6326530612244898
0.9916794896125793,0,0.0,63,0.6428571428571429
0.9915602803230286,0,0.0,64,0.6530612244897959
0.9910427331924438,0,0.0,65,0.6632653061224489
0.9910153746604919,0,0.0,66,0.673469387755102
0.9909093976020813,0,0.0,67,0.6836734693877551
0.9900951385498047,0,0.0,68,0.6938775510204082
0.9890602827072144,0,0.0,69,0.7040816326530612
0.9873132109642029,0,0.0,70,0.7142857142857143
0.9862216711044312,0,0.0,71,0.7244897959183674
0.9840583205223083,0,0.0,72,0.7346938775510204
0.9807296395301819,1,0.011494252873563218,72,0.7346938775510204
0.980376124382019,1,0.011494252873563218,73,0.7448979591836735
0.9799741506576538,1,0.011494252873563218,74,0.7551020408163265
0.9794411659240723,1,0.011494252873563218,75,0.7653061224489796
0.9737748503684998,1,0.011494252873563218,76,0.7755102040816326
0.9735732674598694,1,0.011494252873563218,77,0.7857142857142857
0.9684262871742249,1,0.011494252873563218,78,0.7959183673469388
0.9646523594856262,1,0.011494252873563218,79,0.8061224489795918
0.9639664888381958,1,0.011494252873563218,80,0.8163265306122449
0.9556728005409241,1,0.011494252873563218,81,0.826530612244898
0.9544646143913269,1,0.011494252873563218,82,0.8367346938775511
0.9544495940208435,1,0.011494252873563218,83,0.8469387755102041
0.953601598739624,1,0.011494252873563218,84,0.8571428571428571
0.951361894607544,1,0.011494252873563218,85,0.8673469387755102
0.9479777812957764,2,0.022988505747126436,85,0.8673469387755102
0.9391704201698303,2,0.022988505747126436,86,0.8775510204081632
0.9172834753990173,2,0.022988505747126436,87,0.8877551020408163
0.9121572971343994,2,0.022988505747126436,88,0.8979591836734694
