train_loss,train_cls_loss,train_proto_loss,train_acc,val_loss,val_proto_loss,val_acc,val_auc,val_pr_auc,val_f1
0.10931695130738345,0.0682383266870271,0.20539311929182572,0.9769886363636363,0.12603857792365603,0.2225951658182846,0.9588744588744589,0.9866152450090744,0.9712983460254146,0.9124423963133641
0.11163369024341757,0.07401387870989062,0.18809905485673384,0.975284090909091,0.14166716768434554,0.23089590300987292,0.9502164502164502,0.9852540834845736,0.965020109501404,0.8968609865470852
0.09329385405237024,0.05880971672860059,0.17242068377408115,0.9801136363636364,0.14062965419990095,0.20633305564071192,0.9567099567099567,0.9907239362774753,0.9775808456249704,0.9056603773584906
0.09870701425454834,0.06489607400514863,0.1690546989440918,0.9803977272727272,0.13356879264422697,0.20921358982205907,0.9588744588744589,0.9875478927203065,0.9718220180406054,0.9124423963133641
0.09991178173910488,0.06631717043505474,0.16797305020419034,0.9795454545454545,0.11013420166858992,0.1952437733933007,0.9567099567099567,0.9923875781407541,0.9807102799520282,0.9074074074074074
0.09992960014126517,0.06617461898448793,0.1687748995694247,0.977840909090909,0.1520978542754338,0.20578920673498344,0.9545454545454546,0.98777475297439,0.9736212947181677,0.8995215311004785
0.08134163936430758,0.05047267335043712,0.15434482747858222,0.9829545454545454,0.12549045514637902,0.19759800178664072,0.961038961038961,0.992059891107078,0.9792475730144047,0.9166666666666666
0.08984552533789114,0.05829078949649225,0.15777367678555576,0.9795454545454545,0.11992324921766143,0.1933806251524847,0.9567099567099567,0.9888838475499093,0.9759365282410098,0.9074074074074074
0.07564317936247045,0.04597309792244976,0.14835040352561257,0.9860795454545455,0.13182802311874506,0.1977854704573041,0.9545454545454546,0.9890602944141964,0.9750391602827363,0.8995215311004785
0.08482253497297114,0.054436225207014514,0.1519315459511497,0.9818181818181818,0.11578979883020446,0.19261796998255182,0.9588744588744589,0.9913541036499295,0.9790995978388626,0.9116279069767442
0.07479773932559923,0.04556360657919537,0.1461706594987349,0.9838068181818181,0.12613641042101048,0.19546126209812248,0.9588744588744589,0.9907743496672716,0.9777686264529399,0.9107981220657277
0.07550254139033231,0.046042197172276,0.1473017172379927,0.9835227272727273,0.1258336054161191,0.1941372725096616,0.9523809523809523,0.9916817906836056,0.9785367398290796,0.897196261682243
0.0769344717941501,0.047373215329240666,0.14780628030950374,0.9840909090909091,0.13400417347378157,0.1975146434007785,0.9502164502164502,0.9907743496672716,0.9769477421369843,0.8909952606635071
0.0785981148481369,0.049276828478005796,0.14660642797296697,0.9826704545454545,0.10789435690075352,0.18504489964737006,0.9653679653679653,0.992816091954023,0.9827519916414318,0.9259259259259259
0.07942407459697941,0.05007232593541795,0.14675873843106357,0.984375,0.11367426446167292,0.18812089984293107,0.9588744588744589,0.9918582375478927,0.980853807803742,0.9107981220657277
0.07174420952796937,0.04315706341612068,0.1429357268593528,0.9857954545454546,0.11549117684654601,0.1886289201644592,0.9588744588744589,0.9922615446662634,0.981046758238474,0.9107981220657277
0.06725273508239876,0.039241127898408605,0.14005803194912997,0.9880681818181818,0.10877891795838744,0.18606182152316683,0.961038961038961,0.992967332123412,0.9823894180274929,0.9166666666666666
0.06742060282690958,0.039294201059436255,0.14063200517134233,0.9875,0.1094489646027292,0.185623169783906,0.9567099567099567,0.9927404718693286,0.9819278205565588,0.9065420560747663
0.06678518554703756,0.03892920598049055,0.13927989439530805,0.9886363636363636,0.11236217645000973,0.18676417511262935,0.9588744588744589,0.9925136116152449,0.9816189910831594,0.9107981220657277
0.06578241292048584,0.03801776136017659,0.13882325779307972,0.9880681818181818,0.11224718193334096,0.18639746347031036,0.9588744588744589,0.9924884049203468,0.9814153733049658,0.9107981220657277
