method,seeds,auc_mean,auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,threshold_mean
resnet18_baseline,3,0.9848515847441733,0.0032094610988805485,0.9636427489395362,0.00368314778907815,0.892183749848306,0.018165866670954323,0.042424204138418
resnet18_augmented,3,0.9962491262169029,0.001246679185616729,0.9881409334139349,0.0024431313549899444,0.9237259082737573,0.010683457892176184,0.26149684439102805
pbip_lite,3,0.9949959933848226,7.8130286514964e-05,0.9865440858771661,0.001179398220012274,0.935686023201551,0.021233516980314077,0.4213772118091583
pbip_full,3,0.9950215675242529,0.0004094525415077467,0.9866086144709257,0.0014864675455530188,0.9317784261448431,0.010451644700795171,0.5053501750032107
