train_loss,train_acc,val_loss,val_acc,val_auc,val_f1
0.4372516626661474,0.8227272727272728,0.3413734325405323,0.8722943722943723,0.9051472070982053,0.650887573964497
0.2377505823969841,0.9059659090909091,0.26458947076683953,0.8961038961038961,0.9484018955434563,0.7362637362637363
0.21775116635994476,0.9125,0.27261906607455505,0.8766233766233766,0.9645593869731801,0.6742857142857143
0.1795475487004627,0.9289772727272727,0.19779386376212169,0.935064935064935,0.9613329300262149,0.8598130841121495
0.15940799713134765,0.9397727272727273,0.1967707307469019,0.9285714285714286,0.9607027626537609,0.8374384236453202
0.16063039248639888,0.944034090909091,0.1237735003152322,0.9502164502164502,0.9833383746723129,0.892018779342723
0.1450697873803702,0.94375,0.2859025984615475,0.9004329004329005,0.9509729784230692,0.7472527472527473
0.1290024110539393,0.9508522727272727,0.15821865215107347,0.9545454545454546,0.9760788465416415,0.9032258064516129
0.13361311040141366,0.9517045454545454,0.14235918064605751,0.9545454545454546,0.9798598507763662,0.9032258064516129
0.12424574954943224,0.9559659090909091,0.1567260656763852,0.9393939393939394,0.9759276063722524,0.875
0.09966296817768704,0.9647727272727272,0.12543394764103158,0.9502164502164502,0.9867916918733615,0.8986784140969163
0.09863548891788179,0.9636363636363636,0.15694522240815997,0.9458874458874459,0.9756755394232708,0.8826291079812206
0.08950898464430462,0.9678977272727273,0.11825597261227828,0.9567099567099567,0.9836156483161927,0.9065420560747663
0.08650755878876557,0.9693181818181819,0.13012080277554142,0.9545454545454546,0.9780953821334947,0.9041095890410958
0.08403161327269944,0.9704545454545455,0.13266295093430197,0.9567099567099567,0.9769358741681791,0.908256880733945
0.06487388383935798,0.9772727272727273,0.12824523591263082,0.9588744588744589,0.9822544867916919,0.9116279069767442
0.06714602600444447,0.975,0.0989963089849687,0.9545454545454546,0.9899425287356322,0.905829596412556
0.0647963439029726,0.9786931818181818,0.11149886095880236,0.9588744588744589,0.9891359144988909,0.909952606635071
0.05207312008027326,0.9815340909090909,0.10978084402985355,0.9653679653679653,0.9880520266182699,0.9252336448598131
0.05790513352575627,0.9832386363636364,0.10362673980220184,0.9653679653679653,0.9886065739060295,0.9259259259259259
