train_loss,train_acc,val_loss,val_acc,val_auc,val_f1
0.5862108517776836,0.7258522727272727,0.5434812286715487,0.7532467532467533,0.6335198628755798,0.0
0.5347866226326335,0.74375,0.48302428366301897,0.7619047619047619,0.806084896148417,0.08333333333333333
0.4746041547168385,0.7849431818181818,0.6334389535895674,0.6255411255411255,0.689957652752571,0.46105919003115264
0.44732538515871223,0.8056818181818182,0.8174057663196609,0.7575757575757576,0.6796481145392216,0.125
0.45039355971596456,0.7980113636363636,0.4000963033277751,0.8333333333333334,0.8616656583988707,0.6695278969957081
0.4059568058360707,0.825,0.6658029932996411,0.7748917748917749,0.832955232909861,0.16129032258064516
0.3797769625078548,0.8494318181818182,0.45123376045779234,0.8225108225108225,0.8564730792498487,0.4675324675324675
0.355578844926574,0.8610795454545455,0.40509161682097944,0.8636363636363636,0.8698830409356726,0.6631016042780749
0.3013928789984096,0.8894886363636364,0.4925394971971904,0.7943722943722944,0.8426850171405526,0.30656934306569344
0.27137648409063164,0.9002840909090909,0.38183137516438703,0.8571428571428571,0.8929219600725953,0.7053571428571429
0.240947517210787,0.9096590909090909,0.3880048716739143,0.8376623376623377,0.9253125630167373,0.7252747252747253
0.22343983243812215,0.9167613636363636,0.2837559738200464,0.8917748917748918,0.9501915708812261,0.7222222222222222
0.2052934008565816,0.9230113636363636,0.22067546763848433,0.9069264069264069,0.9465870135107884,0.8138528138528138
0.19712940617041155,0.925,0.19114047592078454,0.9372294372294372,0.9573754789272031,0.8699551569506726
0.17480951276692477,0.9346590909090909,0.18711768885776078,0.935064935064935,0.967760637225247,0.8514851485148515
0.1610877289013429,0.9372159090909091,0.16371148133658486,0.9437229437229437,0.9744404113732608,0.875
0.1451018134301359,0.9471590909090909,0.15028848097502412,0.9458874458874459,0.9805152248437184,0.8803827751196173
0.1419907512989911,0.9482954545454545,0.14167873690396676,0.9437229437229437,0.9772131478120589,0.8859649122807017
0.1336030811071396,0.9505681818181818,0.14264746124803762,0.9502164502164502,0.9773391812865497,0.892018779342723
0.12998029623519292,0.9525568181818181,0.14570199179733212,0.9502164502164502,0.9765073603549103,0.8909952606635071
