method,method_zh,group,group_zh,seed,k,alpha,beta,auc,pr_auc,f1,accuracy,precision,recall,threshold,validation_f1,reused
no_contrastive_loss,移除原型对比损失,component,组件消融,0,3,0.3,0.0,0.9950130428111096,0.9875852574992678,0.9178743961352656,0.96579476861167,0.8715596330275229,0.9693877551020408,0.2784741222858429,0.925764192139738,True
no_prototype_logits,移除原型 logit,component,组件消融,0,3,0.0,0.05,0.9946805789985168,0.987379422473835,0.9375,0.9758551307847082,0.9574468085106383,0.9183673469387756,0.8316905498504639,0.9252336448598132,False
k1,K=1,k,K 值消融,0,1,0.3,0.05,0.9951409135082604,0.9877222157101035,0.9424083769633508,0.977867203219316,0.967741935483871,0.9183673469387756,0.8398653864860535,0.9252336448598132,False
k3,K=3,k,K 值消融,0,3,0.3,0.05,0.9954222290419928,0.9882655511900088,0.9430051813471504,0.977867203219316,0.9578947368421052,0.9285714285714286,0.8258681297302246,0.9252336448598132,True
k5,K=5,k,K 值消融,0,5,0.3,0.05,0.9951409135082604,0.986170409041964,0.9494949494949496,0.9798792756539236,0.94,0.9591836734693876,0.3553324043750763,0.927927927927928,False
beta_0.01,β=0.01,beta,β 值消融,0,3,0.3,0.01,0.9948595979745284,0.98621246445661,0.931372549019608,0.971830985915493,0.8962264150943396,0.9693877551020408,0.2059905380010604,0.9244444444444444,False
beta_0.05,β=0.05,beta,β 值消融,0,3,0.3,0.05,0.9954222290419928,0.9882655511900088,0.9430051813471504,0.977867203219316,0.9578947368421052,0.9285714285714286,0.8258681297302246,0.9252336448598132,True
beta_0.1,β=0.10,beta,β 值消融,0,3,0.3,0.1,0.995831415272876,0.9884860686269368,0.9381443298969072,0.9758551307847082,0.9479166666666666,0.9285714285714286,0.5782483220100403,0.9308755760368664,True
beta_0.2,β=0.20,beta,β 值消融,0,3,0.3,0.2,0.9945527083013656,0.9862795124579712,0.9306930693069309,0.971830985915493,0.903846153846154,0.9591836734693876,0.2184699475765228,0.9244444444444444,False
