method,method_zh,seeds,seed_count,auc_mean,auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std
resnet18_baseline,ResNet18（无增强）,"0,1,2",3,0.9848515847441733,0.0032094610988805594,0.9636427489395362,0.0036831477890781634,0.892183749848306,0.018165866670954284,0.9543930248155602,0.008131693932248244,0.8369681258122076,0.028674970442055567,0.95578231292517,0.02124148979047081
resnet18_augmented,ResNet18（强增强）,"0,1,2",3,0.9962491262169029,0.0012466791856167306,0.9881409334139349,0.0024431313549899444,0.9237259082737573,0.010683457892176213,0.9684775318578135,0.005063604584353386,0.8855188897321157,0.027761169292665522,0.965986394557823,0.011782658554890463
pbip_lite,PBIP-Lite,"0,1,2",3,0.9949959933848226,7.813028651497006e-05,0.9865440858771661,0.001179398220012274,0.935686023201551,0.02123351698031404,0.9738430583501007,0.009220474235323621,0.9141693374597545,0.04386148430692538,0.9591836734693877,0.010204081632653017
pbip_full,PBIP + 原型对比损失,"0,1,2",3,0.9950215675242529,0.00040945254150770536,0.9866086144709257,0.0014864675455530186,0.9317784261448431,0.010451644700795171,0.9725016767270288,0.005063604584353371,0.9164296907846959,0.039340542889611876,0.9489795918367347,0.02040816326530609
