method,method_zh,seed,degradation,degradation_zh,level,auc,pr_auc,f1,threshold,auc_drop_from_clean,pr_auc_drop_from_clean,f1_drop_from_clean
resnet18_augmented,ResNet18（强增强）,1,resample,下采样,2,0.995703544575725,0.9875419156804142,0.9150943396226416,0.2202884256839752,-0.000767224182906201,-0.0014915968516873157,-0.0008086253369272711
resnet18_augmented,ResNet18（强增强）,1,resample,下采样,3,0.9955245255997136,0.9871575712838174,0.927536231884058,0.2202884256839752,-0.0005882052068948429,-0.0011072524550905793,-0.013250517598343614
resnet18_augmented,ResNet18（强增强）,1,resample,下采样,4,0.9945782824407958,0.983271056004361,0.8755760368663594,0.2202884256839752,0.0003580379520229382,0.0027792628243658024,0.03870967741935494
resnet18_augmented,ResNet18（强增强）,1,resample,下采样,5,0.9767275331185106,0.9381620088074314,0.7603305785123967,0.2202884256839752,0.01820878727430819,0.047888310021295455,0.15395513577331765
pbip_lite,PBIP-Lite,1,clean,干净数据,0,0.9950641910899698,0.9852632689161578,0.93,0.6191728711128235,0.0,0.0,0.0
pbip_lite,PBIP-Lite,1,low_contrast,低对比度,1,0.9949874686716792,0.984467518946612,0.9253731343283582,0.6191728711128235,7.67224182905979e-05,0.0007957499695457892,0.004626865671641833
pbip_lite,PBIP-Lite,1,low_contrast,低对比度,2,0.9954222290419928,0.98337564047447,0.9238578680203046,0.6191728711128235,-0.0003580379520230492,0.001887628441687772,0.0061421319796954865
pbip_lite,PBIP-Lite,1,low_contrast,低对比度,3,0.9941435220704824,0.9771269049226092,0.9137055837563453,0.6191728711128235,0.0009206690194873968,0.008136363993548557,0.016294416243654797
pbip_lite,PBIP-Lite,1,low_contrast,低对比度,4,0.9782364073448928,0.9438641026536356,0.8808290155440415,0.6191728711128235,0.016827783745076985,0.04139916626252216,0.04917098445595858
pbip_lite,PBIP-Lite,1,low_contrast,低对比度,5,0.9101836223211088,0.832945894624255,0.7608695652173914,0.6191728711128235,0.08488056876886096,0.15231737429190284,0.1691304347826087
pbip_lite,PBIP-Lite,1,gaussian_noise,高斯噪声,1,0.9950386169505396,0.9852413803657686,0.93,0.6191728711128235,2.557413943016229e-05,2.188855038920412e-05,0.0
pbip_lite,PBIP-Lite,1,gaussian_noise,高斯噪声,2,0.9941435220704824,0.9832549870777998,0.9306930693069309,0.6191728711128235,0.0009206690194873968,0.002008281838357995,-0.0006930693069308047
pbip_lite,PBIP-Lite,1,gaussian_noise,高斯噪声,3,0.9895146028336148,0.9747816572349371,0.9353233830845772,0.6191728711128235,0.005549588256354987,0.010481611681220637,-0.005323383084577138
pbip_lite,PBIP-Lite,1,gaussian_noise,高斯噪声,4,0.9848601094573166,0.9624442786616604,0.9154228855721394,0.6191728711128235,0.010204081632653184,0.022818990254497407,0.014577114427860693
pbip_lite,PBIP-Lite,1,gaussian_noise,高斯噪声,5,0.97787836939287,0.942085619667294,0.8704663212435233,0.6191728711128235,0.017185821697099812,0.0431776492488638,0.05953367875647675
pbip_lite,PBIP-Lite,1,gaussian_blur,高斯模糊,1,0.9957802669940156,0.9863770513066248,0.9292929292929292,0.6191728711128235,-0.0007160759040457654,-0.0011137823904669997,0.0007070707070708782
pbip_lite,PBIP-Lite,1,gaussian_blur,高斯模糊,2,0.996547491176922,0.988045014909448,0.9292929292929292,0.6191728711128235,-0.0014833000869521884,-0.0027817459932901745,0.0007070707070708782
pbip_lite,PBIP-Lite,1,gaussian_blur,高斯模糊,3,0.9967776584317936,0.9875816708503068,0.9393939393939394,0.6191728711128235,-0.00171346734182376,-0.002318401934149006,-0.009393939393939399
pbip_lite,PBIP-Lite,1,gaussian_blur,高斯模糊,4,0.9951409135082604,0.981242108541173,0.92,0.6191728711128235,-7.67224182905979e-05,0.004021160374984789,0.010000000000000009
pbip_lite,PBIP-Lite,1,gaussian_blur,高斯模糊,5,0.9875453940974886,0.9615487925405456,0.883495145631068,0.6191728711128235,0.007518796992481147,0.023714476375612192,0.046504854368932036
pbip_lite,PBIP-Lite,1,window_shift,窗位偏移,1,0.9954222290419928,0.985939344652734,0.93,0.6191728711128235,-0.0003580379520230492,-0.0006760757365762426,0.0
pbip_lite,PBIP-Lite,1,window_shift,窗位偏移,2,0.9958058411334458,0.9863758094840932,0.9292929292929292,0.6191728711128235,-0.0007416500434760387,-0.0011125405679354161,0.0007070707070708782
pbip_lite,PBIP-Lite,1,window_shift,窗位偏移,3,0.9960360083883176,0.9862756902672056,0.934010152284264,0.6191728711128235,-0.0009718172983478324,-0.001012421351047843,-0.004010152284263935
pbip_lite,PBIP-Lite,1,window_shift,窗位偏移,4,0.9962406015037596,0.9864920088963124,0.9292929292929292,0.6191728711128235,-0.0011764104137897968,-0.0012287399801546028,0.0007070707070708782
pbip_lite,PBIP-Lite,1,window_shift,窗位偏移,5,0.9959337118305968,0.9853637287030924,0.9191919191919192,0.6191728711128235,-0.0008695207406269612,-0.00010045978693462576,0.010808080808080822
pbip_lite,PBIP-Lite,1,jpeg,JPEG 压缩,1,0.9951409135082604,0.985599680575134,0.93,0.6191728711128235,-7.67224182905979e-05,-0.00033641165897624337,0.0
pbip_lite,PBIP-Lite,1,jpeg,JPEG 压缩,2,0.995345506623702,0.9860333206134658,0.9253731343283582,0.6191728711128235,-0.0002813155337322293,-0.0007700516973080385,0.004626865671641833
pbip_lite,PBIP-Lite,1,jpeg,JPEG 压缩,3,0.9944759858830752,0.9839835188389682,0.92,0.6191728711128235,0.0005882052068946209,0.001279750077189612,0.010000000000000009
pbip_lite,PBIP-Lite,1,jpeg,JPEG 压缩,4,0.9946805789985168,0.9832272258585754,0.92,0.6191728711128235,0.00038361209145298947,0.002036043057582426,0.010000000000000009
pbip_lite,PBIP-Lite,1,jpeg,JPEG 压缩,5,0.9932228530509948,0.977076635187458,0.9387755102040816,0.6191728711128235,0.0018413380389750156,0.008186633728699766,-0.008775510204081516
pbip_lite,PBIP-Lite,1,resample,下采样,1,0.9962917497826198,0.9875140857930732,0.9246231155778896,0.6191728711128235,-0.0012275586926500104,-0.002250816876915418,0.005376884422110484
pbip_lite,PBIP-Lite,1,resample,下采样,2,0.9964963428980615,0.987577958236466,0.9292929292929292,0.6191728711128235,-0.0014321518080917528,-0.0023146893203082053,0.0007070707070708782
pbip_lite,PBIP-Lite,1,resample,下采样,3,0.996547491176922,0.9870356140393794,0.934010152284264,0.6191728711128235,-0.0014833000869521884,-0.0017723451232216636,-0.004010152284263935
pbip_lite,PBIP-Lite,1,resample,下采样,4,0.9960104342488876,0.9843119632551856,0.9346733668341708,0.6191728711128235,-0.0009462431589177811,0.0009513056609722348,-0.004673366834170745
pbip_lite,PBIP-Lite,1,resample,下采样,5,0.9759858830750346,0.9333655088082312,0.8144796380090498,0.6191728711128235,0.019078308014935152,0.05189776010792657,0.11552036199095028
pbip_full,PBIP + 原型对比损失,1,clean,干净数据,0,0.9950386169505396,0.9853921947024448,0.93,0.618535578250885,0.0,0.0,0.0
pbip_full,PBIP + 原型对比损失,1,low_contrast,低对比度,1,0.9951920617871208,0.9851250631197624,0.9253731343283582,0.618535578250885,-0.0001534448365811958,0.00026713158268232284,0.004626865671641833
pbip_full,PBIP + 原型对比损失,1,low_contrast,低对比度,2,0.9954989514602832,0.9835759021119106,0.9238578680203046,0.618535578250885,-0.00046033450974358736,0.0018162925905341742,0.0061421319796954865
