method,method_zh,seed,category,sample_count,probability_mean,probability_min,probability_max,cam_probability_mean,threshold,representative_patch
resnet18_augmented,ResNet18（强增强）,1,TP,3,0.9999973300000001,0.9999964,0.99999833,0.9999973300000001,0.2205548584461212,1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264_0426_class1.npy
resnet18_augmented,ResNet18（强增强）,1,FP,3,0.9423883833333333,0.8984204,0.98076415,0.9423883833333333,0.2205548584461212,1.3.6.1.4.1.14519.5.2.1.6279.6001.134519406153127654901640638633_0275_class0.npy
resnet18_augmented,ResNet18（强增强）,1,FN,2,0.098892799,0.004869448,0.19291615,0.098892799,0.2205548584461212,1.3.6.1.4.1.14519.5.2.1.6279.6001.712472578497712558367294720243_0681_class1.npy
resnet18_augmented,ResNet18（强增强）,1,TN,3,6.0773937999999995e-05,3.360182e-05,8.828406e-05,6.0773937999999995e-05,0.2205548584461212,1.3.6.1.4.1.14519.5.2.1.6279.6001.194632613233275988184244485809_0178_class0.npy
pbip_full,PBIP + 原型对比损失,1,TP,3,0.9999999333333335,0.9999999,1.0,0.9999999333333335,0.6185393929481506,1.3.6.1.4.1.14519.5.2.1.6279.6001.188619674701053082195613114069_0540_class1.npy
pbip_full,PBIP + 原型对比损失,1,FP,3,0.9686493533333334,0.9366331,0.986249,0.9686493533333334,0.6185393929481506,1.3.6.1.4.1.14519.5.2.1.6279.6001.188619674701053082195613114069_0455_class0.npy
pbip_full,PBIP + 原型对比损失,1,FN,3,0.130876126,0.007234668,0.22353055,0.130876126,0.6185393929481506,1.3.6.1.4.1.14519.5.2.1.6279.6001.712472578497712558367294720243_0681_class1.npy
pbip_full,PBIP + 原型对比损失,1,TN,3,3.521329983333333e-05,5.342105e-07,5.3597894e-05,3.521329983333333e-05,0.6185393929481506,1.3.6.1.4.1.14519.5.2.1.6279.6001.194632613233275988184244485809_0178_class0.npy
