method,seed,run_dir,checkpoint,prototype_bank,best_val_auc,threshold,validation_f1,auc,pr_auc,f1,accuracy,precision,recall,group,k,alpha,beta,reused
k1,0,D:\luna16-work\runs\ablations\k1,D:\luna16-work\runs\ablations\k1\best_model.pth,D:\luna16-work\runs\ablations\prototype_bank_k1\prototype_bank.pkl,0.9912280701754386,0.8398653864860535,0.9252336448598131,0.9951409135082605,0.9877222157101035,0.9424083769633508,0.9778672032193159,0.967741935483871,0.9183673469387755,k,1,0.3,0.05,False
k3,0,D:\luna16-work\runs\experiments_v2\seed_0\pbip_contrast,D:\luna16-work\runs\experiments_v2\seed_0\pbip_contrast\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_0\prototype_bank\prototype_bank.pkl,0.9914045170397258,0.8258681297302246,0.9252336448598131,0.9954222290419927,0.9882655511900087,0.9430051813471503,0.9778672032193159,0.9578947368421052,0.9285714285714286,k,3,0.3,0.05,True
k5,0,D:\luna16-work\runs\ablations\k5,D:\luna16-work\runs\ablations\k5\best_model.pth,D:\luna16-work\runs\ablations\prototype_bank_k5\prototype_bank.pkl,0.993572292800968,0.3553324043750763,0.927927927927928,0.9951409135082605,0.986170409041964,0.9494949494949495,0.9798792756539235,0.94,0.9591836734693877,k,5,0.3,0.05,False
