train_loss,train_cls_loss,train_proto_loss,train_acc,val_loss,val_proto_loss,val_acc,val_auc,val_f1
0.08915180733258074,0.06805960459803993,0.2109220244667747,0.9772727272727273,0.12342628206477149,0.22875159914359386,0.9588744588744589,0.9871193789070378,0.9124423963133641
0.08381453081965447,0.06414580087770115,0.19668729522011497,0.9786931818181818,0.13196314686256183,0.22232098251710206,0.9523809523809523,0.9873462391611211,0.8981481481481481
0.07903769805350087,0.06064455355094238,0.1839314417405562,0.9806818181818182,0.12312677825168097,0.22378491258724428,0.9545454545454546,0.9883293002621496,0.9066666666666666
0.06624677418307824,0.04915452008558945,0.1709225351160223,0.984375,0.11861994837761505,0.20566430868524493,0.9588744588744589,0.9900181488203268,0.9124423963133641
0.06732619977132841,0.04996108699759299,0.173651123046875,0.9829545454545454,0.12495043393208351,0.21294428175920016,0.9545454545454546,0.9893879814478725,0.9049773755656109
0.06354027637703852,0.0467006645927375,0.16839611313559794,0.9838068181818181,0.13302987686144713,0.20716315733663965,0.9632034632034632,0.9879764065335753,0.9216589861751152
0.06037967716428366,0.044022429658269344,0.16357247179204767,0.9866477272727273,0.12393874190425203,0.2075805115106302,0.961038961038961,0.9864387981447872,0.9174311926605505
0.04898377247154713,0.03356101278384978,0.15422759489579635,0.9897727272727272,0.13112427752860117,0.2040367636716727,0.961038961038961,0.9859850776366202,0.9166666666666666
0.05779896036467769,0.041994017934088,0.1580494230443781,0.9886363636363636,0.10946430427373036,0.19837391331340326,0.9588744588744589,0.9911020367009478,0.91324200913242
0.049008985778147524,0.03383016899566759,0.15178816535256126,0.9892045454545455,0.12380544964256354,0.19704896972809002,0.961038961038961,0.9846491228070176,0.9150943396226415
0.0552210056307641,0.040017876325344495,0.15203129161487927,0.9894886363636364,0.1303356594398005,0.1932521310848591,0.9632034632034632,0.9890855011090947,0.92018779342723
0.04417678679932247,0.029251055779274216,0.14925730445168234,0.9897727272727272,0.12196690257078287,0.19129936609949386,0.9632034632034632,0.9890350877192983,0.92018779342723
0.040046117082238195,0.025566459404812617,0.14479657086459072,0.9926136363636363,0.1273514065907631,0.19084813487736177,0.9632034632034632,0.9881024400080661,0.92018779342723
0.043384791673584416,0.02879351115870205,0.14591280330311168,0.9917613636363637,0.1135853740600345,0.19051356033071296,0.9653679653679653,0.9906231094978826,0.9272727272727272
0.037712104042822665,0.023554213730279695,0.14157889973033558,0.9931818181818182,0.1149560070024134,0.19049431228792513,0.9675324675324676,0.9913541036499294,0.9308755760368663
0.04399061302908442,0.029454088816419245,0.14536523818969727,0.9920454545454546,0.1251019527188208,0.19115877667546788,0.9632034632034632,0.989614841701956,0.9209302325581395
0.048730292001908475,0.03392674863677133,0.14803543090820312,0.9897727272727272,0.12423669492213048,0.19084332889808722,0.961038961038961,0.9904718693284937,0.9158878504672897
0.0512075187638402,0.03611510126343505,0.15092417110096323,0.9889204545454545,0.11844388502589487,0.19120888276533646,0.961038961038961,0.9907239362774753,0.9158878504672897
0.04998354088853706,0.035077476653863085,0.14906063946810635,0.9892045454545455,0.1220676437125126,0.1911288041186023,0.961038961038961,0.9904970760233918,0.9158878504672897
0.060998257486657666,0.04563093397512354,0.1536732326854359,0.9863636363636363,0.12331041526170326,0.19110422836237656,0.961038961038961,0.9906231094978826,0.9158878504672897
