train_loss,train_cls_loss,train_proto_loss,train_acc,val_loss,val_proto_loss,val_acc,val_auc,val_pr_auc,val_f1
0.07149644304405559,0.06714648087932305,0.08699924729087136,0.9764204545454546,0.12549835573317428,0.13603848064100588,0.961038961038961,0.9878755797539827,0.9725462767486812,0.9174311926605505
0.06829031773588874,0.06399340053850955,0.08593835180455989,0.9775568181818182,0.13317096413988055,0.14327427107856902,0.9523809523809523,0.9871445856019359,0.971557947324322,0.8981481481481481
0.06492445516315373,0.06084882048043338,0.08151269609277899,0.9801136363636364,0.12256118720518304,0.1432620965879717,0.9523809523809523,0.988379713651946,0.9735132771439636,0.9017857142857143
0.052300718054175376,0.04890016004104506,0.06801116249778054,0.984375,0.11869306301847261,0.12858075604197525,0.9588744588744589,0.9911524500907442,0.9782403243538474,0.9124423963133641
0.05336452763188969,0.04975413135676222,0.07220792987129905,0.9821022727272727,0.12441181233434966,0.13953030193264868,0.9545454545454546,0.990068562210123,0.9752061682241876,0.9049773755656109
0.05037798790091818,0.04695723284543915,0.06841509992426092,0.9840909090909091,0.134339276995526,0.13688520363076426,0.961038961038961,0.9877243395845937,0.9707533548400568,0.9166666666666666
0.04697337101467631,0.04374151785265316,0.06463705843145197,0.9863636363636363,0.12178939542213044,0.13748369365930557,0.9545454545454546,0.9864640048396854,0.9730876722710298,0.9049773755656109
0.035525499284267424,0.03280965795909817,0.05431682413274592,0.9900568181818182,0.13242993791571525,0.1306230846260275,0.9632034632034632,0.9841701956039525,0.9709644316418529,0.9216589861751152
0.04529846662824804,0.042176039059731094,0.06244855360551314,0.9883522727272728,0.10844208978850281,0.12410167593396071,0.9567099567099567,0.9912280701754386,0.9787132621625356,0.9090909090909091
0.036780329912223596,0.034033081553537736,0.05494496388868852,0.9889204545454545,0.1235515950146853,0.12803492854748452,0.961038961038961,0.9840693688243598,0.9707328554467316,0.9158878504672897
0.04257092322646217,0.03970480815676803,0.05732229622927579,0.9900568181818182,0.1302200153286597,0.1255440603844918,0.9632034632034632,0.9878503730590845,0.974419289194291,0.92018779342723
0.03192331540313634,0.02938810692761432,0.05070416927337647,0.9894886363636364,0.12659395696369535,0.12357965458458636,0.961038961038961,0.9881780600927607,0.974347008201448,0.9158878504672897
0.027571249439973723,0.02524150692095811,0.046594847332347526,0.9923295454545454,0.12997930338888458,0.12520353735557624,0.9632034632034632,0.9869429320427505,0.97455389421697,0.92018779342723
0.03051966295831583,0.028050047565590253,0.04939230355349454,0.9920454545454546,0.11513482156770054,0.11952474029549273,0.9632034632034632,0.9895392216172616,0.9781000263537126,0.9230769230769231
0.025428073103962973,0.023210796447132122,0.04434553059664639,0.9931818181818182,0.11640504468232393,0.1197077984965983,0.9675324675324676,0.9901441822948175,0.97782172940332,0.9308755760368663
0.03137567276135087,0.028879259958524594,0.049928255514665086,0.9926136363636363,0.12741771353674786,0.1235458886178283,0.9632034632034632,0.9877999596692881,0.9752747688001374,0.9209302325581395
0.036132506509734826,0.03353308011693033,0.051988527991554956,0.9892045454545455,0.12591129567804726,0.12235676547214067,0.961038961038961,0.9891359144988908,0.9761500260379171,0.9158878504672897
0.039032613414085725,0.03619184886020693,0.056815292618491435,0.9897727272727272,0.11998038568122724,0.12043795607242233,0.9632034632034632,0.989463601532567,0.9768782357424354,0.9209302325581395
0.037748470038852906,0.03502254809506915,0.05451843521811745,0.9889204545454545,0.12418809081669654,0.12149055465023754,0.961038961038961,0.9892367412784836,0.9767764587378753,0.9158878504672897
0.0488102964294905,0.0457343631635674,0.0615186712958596,0.9869318181818182,0.1255109623685334,0.12240715407125362,0.961038961038961,0.9890350877192983,0.9763443364017548,0.9158878504672897
