class,class_id,cluster_id,size,prototypes,iterations,max_similarity,min_selected_similarity
negative,0,0,1769,20,13,0.9980902075767517,0.996925950050354
negative,0,1,666,20,13,0.9912565350532532,0.9883339405059814
negative,0,2,202,20,13,0.9882447123527527,0.9698507785797119
positive,1,0,28,20,29,0.9692672491073608,0.9013229608535767
positive,1,1,164,20,29,0.9961796402931213,0.9925174713134766
positive,1,2,724,20,29,0.9996100664138794,0.9992056488990784
