class,class_id,cluster_id,size,prototypes,iterations,max_similarity,min_selected_similarity
negative,0,0,2637,20,2,0.9941565990447998,0.9927277565002441
positive,1,0,916,20,2,0.9985992908477783,0.9975581169128418
