fpr,tpr,threshold
0.0,0.0,inf
0.0,0.01020408163265306,0.9999999
0.0,0.030612244897959183,0.99999964
0.0,0.19387755102040816,0.9999515
0.0,0.21428571428571427,0.9999453
0.0,0.4897959183673469,0.9990268
0.0,0.5102040816326531,0.99865353
0.0,0.826530612244898,0.9462415
0.002506265664160401,0.826530612244898,0.945484
0.002506265664160401,0.8571428571428571,0.9343784
0.005012531328320802,0.8571428571428571,0.93334407
0.005012531328320802,0.8979591836734694,0.8965801
0.007518796992481203,0.8979591836734694,0.89428645
0.007518796992481203,0.9183673469387755,0.8886597
0.010025062656641603,0.9183673469387755,0.88336515
0.010025062656641603,0.9489795918367347,0.8501658
0.017543859649122806,0.9489795918367347,0.70555675
0.017543859649122806,0.9591836734693877,0.6041929
0.022556390977443608,0.9591836734693877,0.3673676
0.022556390977443608,0.9693877551020408,0.36060917
0.03007518796992481,0.9693877551020408,0.3233211
0.03007518796992481,0.9795918367346939,0.32250616
0.05764411027568922,0.9795918367346939,0.17768638
0.05764411027568922,0.9897959183673469,0.16571635
0.14536340852130325,0.9897959183673469,0.033047743
0.14536340852130325,1.0,0.0316735
1.0,1.0,9.487446e-05
