threshold,false_positives,fp_per_scan,true_positives,sensitivity
inf,0,0.0,0,0.0
0.9999998807907104,0,0.0,1,0.01020408163265306
0.9999996423721313,0,0.0,3,0.030612244897959183
0.9999991655349731,0,0.0,4,0.04081632653061224
0.9999969005584717,0,0.0,5,0.05102040816326531
0.9999963045120239,0,0.0,6,0.061224489795918366
0.9999961853027344,0,0.0,7,0.07142857142857142
0.999994158744812,0,0.0,8,0.08163265306122448
0.999993085861206,0,0.0,9,0.09183673469387756
0.9999916553497314,0,0.0,10,0.10204081632653061
0.9999876022338867,0,0.0,11,0.11224489795918367
0.9999871253967285,0,0.0,12,0.12244897959183673
0.9999866485595703,0,0.0,13,0.1326530612244898
0.9999842643737793,0,0.0,14,0.14285714285714285
0.9999767541885376,0,0.0,15,0.15306122448979592
0.999975323677063,0,0.0,16,0.16326530612244897
0.9999557733535767,0,0.0,17,0.17346938775510204
0.9999518394470215,0,0.0,18,0.1836734693877551
0.9999514818191528,0,0.0,19,0.19387755102040816
0.9999452829360962,0,0.0,21,0.21428571428571427
0.9999444484710693,0,0.0,22,0.22448979591836735
0.999929666519165,0,0.0,23,0.23469387755102042
0.9999219179153442,0,0.0,24,0.24489795918367346
0.9998879432678223,0,0.0,25,0.25510204081632654
0.9998724460601807,0,0.0,26,0.2653061224489796
0.9998695850372314,0,0.0,27,0.2755102040816326
0.9998397827148438,0,0.0,28,0.2857142857142857
0.9998064637184143,0,0.0,29,0.29591836734693877
0.9997817873954773,0,0.0,30,0.30612244897959184
0.9997572302818298,0,0.0,31,0.3163265306122449
0.9996979236602783,0,0.0,32,0.32653061224489793
0.9996974468231201,0,0.0,33,0.336734693877551
0.999690055847168,0,0.0,34,0.3469387755102041
0.9996707439422607,0,0.0,35,0.35714285714285715
0.9996378421783447,0,0.0,36,0.3673469387755102
0.9996309280395508,0,0.0,37,0.37755102040816324
0.999565064907074,0,0.0,38,0.3877551020408163
0.9995371103286743,0,0.0,39,0.3979591836734694
0.9995013475418091,0,0.0,40,0.40816326530612246
0.9994682669639587,0,0.0,41,0.41836734693877553
0.9994606375694275,0,0.0,42,0.42857142857142855
0.9993946552276611,0,0.0,43,0.4387755102040816
0.9993322491645813,0,0.0,44,0.4489795918367347
0.9993072748184204,0,0.0,45,0.45918367346938777
0.9991270899772644,0,0.0,46,0.46938775510204084
0.9991118311882019,0,0.0,47,0.47959183673469385
0.9990267753601074,0,0.0,48,0.4897959183673469
0.9986535310745239,0,0.0,50,0.5102040816326531
0.9983651041984558,0,0.0,51,0.5204081632653061
0.9977777600288391,0,0.0,52,0.5306122448979592
