seed,beta,epoch,train_loss,val_auc,val_f1
0,0.05,1,0.0787455000999299,0.9875730994152047,0.9174311926605505
0,0.05,2,0.07448452690785581,0.9875478927203065,0.8981481481481481
0,0.05,3,0.07037230547178876,0.9887830207703165,0.9066666666666666
0,0.05,4,0.05808138906617056,0.9904718693284937,0.9124423963133641
0,0.05,5,0.0589226731183854,0.9899677354305303,0.9049773755656109
0,0.05,6,0.0555475784635002,0.9878251663641864,0.9216589861751152
0,0.05,7,0.05255587952719493,0.9862119378907038,0.91324200913242
0,0.05,8,0.041592755338007756,0.9858590441621294,0.9124423963133641
0,0.05,9,0.05034717514433644,0.9914045170397258,0.9181818181818182
0,0.05,10,0.04191806150430983,0.9846743295019156,0.9150943396226415
0,0.05,11,0.04793538647619161,0.9892367412784835,0.92018779342723
0,0.05,12,0.03726222591305321,0.9891863278886873,0.9158878504672897
0,0.05,13,0.03317471678284081,0.988077233313168,0.92018779342723
0,0.05,14,0.03640937539325519,0.9902954224642064,0.9272727272727272
0,0.05,15,0.03091971217231317,0.9914045170397258,0.9308755760368663
0,0.05,16,0.03710219787264412,0.9895140149223633,0.9209302325581395
0,0.05,17,0.041790662333369255,0.9904970760233918,0.9158878504672897
0,0.05,18,0.04421844321557067,0.9909255898366607,0.9209302325581395
0,0.05,19,0.04299244506453926,0.99052228271829,0.9209302325581395
0,0.05,20,0.05375335617837581,0.9906483161927808,0.9158878504672897
0,0.1,1,0.08915180733258074,0.9871193789070378,0.9124423963133641
0,0.1,2,0.08381453081965447,0.9873462391611211,0.8981481481481481
0,0.1,3,0.07903769805350087,0.9883293002621496,0.9066666666666666
0,0.1,4,0.06624677418307824,0.9900181488203268,0.9124423963133641
0,0.1,5,0.06732619977132841,0.9893879814478725,0.9049773755656109
0,0.1,6,0.06354027637703852,0.9879764065335753,0.9216589861751152
0,0.1,7,0.06037967716428366,0.9864387981447872,0.9174311926605505
0,0.1,8,0.04898377247154713,0.9859850776366202,0.9166666666666666
0,0.1,9,0.05779896036467769,0.9911020367009478,0.91324200913242
0,0.1,10,0.049008985778147524,0.9846491228070176,0.9150943396226415
0,0.1,11,0.0552210056307641,0.9890855011090947,0.92018779342723
0,0.1,12,0.04417678679932247,0.9890350877192983,0.92018779342723
0,0.1,13,0.040046117082238195,0.9881024400080661,0.92018779342723
0,0.1,14,0.043384791673584416,0.9906231094978826,0.9272727272727272
0,0.1,15,0.037712104042822665,0.9913541036499294,0.9308755760368663
0,0.1,16,0.04399061302908442,0.989614841701956,0.9209302325581395
0,0.1,17,0.048730292001908475,0.9904718693284937,0.9158878504672897
0,0.1,18,0.0512075187638402,0.9907239362774753,0.9158878504672897
0,0.1,19,0.04998354088853706,0.9904970760233918,0.9158878504672897
0,0.1,20,0.060998257486657666,0.9906231094978826,0.9158878504672897
