method,seeds,auc_mean,auc_std,f1_mean,f1_std,acc_mean,acc_std,val_auc_mean
pbip_contrast,3,0.9950215675242529,0.0004094525415075508,0.9418295675721419,0.021681660124949955,0.9765258215962441,0.009072937128416291,0.9919590643274855
pbip_lite,3,0.9949959933848226,7.813028651489738e-05,0.9418295675721419,0.021681660124949955,0.9765258215962441,0.009072937128416291,0.9921439134234052
resnet18_noaug,3,0.9848515847441733,0.0032094610988805485,0.9145561282932416,0.016680956103195366,0.9664654594232059,0.006146982823549118,0.98369967063252
resnet18_strong,3,0.9962491262169028,0.0012466791856167257,0.9378994168846937,0.006419218238303033,0.9751844399731723,0.0030734914117745184,0.9930597566713719
