train_loss,train_acc,val_loss,val_acc,val_auc,val_f1
0.4591079847379164,0.8076704545454545,0.31267078743352517,0.8658008658008658,0.9208005646299657,0.743801652892562
0.23281564197757026,0.909375,0.5645400582534539,0.8008658008658008,0.91442327082073,0.3235294117647059
0.1986812641674822,0.921875,0.19029155360671865,0.9285714285714286,0.9677858439201452,0.8436018957345972
0.1639896037903699,0.940625,0.2101728210298272,0.935064935064935,0.9457299858842507,0.8543689320388349
0.1457110933959484,0.9494318181818182,0.22837469975556776,0.9264069264069265,0.9707350272232305,0.8333333333333334
0.14357523626901886,0.9428977272727272,0.29200423667126724,0.8917748917748918,0.9696259326477112,0.7191011235955056
0.12947375489906832,0.9559659090909091,0.25165405315528444,0.9177489177489178,0.9610808630772333,0.8
0.11574340093542229,0.9571022727272728,0.1791095460293355,0.9502164502164502,0.9671556765476911,0.8949771689497716
0.11727505536241965,0.95625,0.16521211362391452,0.9458874458874459,0.9795069570477919,0.8780487804878049
0.09014557075094093,0.9661931818181818,0.15377511620094186,0.9458874458874459,0.9848759830611009,0.8780487804878049
0.09275102523917501,0.9644886363636364,0.15196437676925034,0.9393939393939394,0.9878251663641864,0.8627450980392157
0.08453233738175847,0.9704545454545455,0.11989488076112229,0.9545454545454546,0.9893375680580763,0.9023255813953488
0.07471295828846368,0.975284090909091,0.1392069902770963,0.9545454545454546,0.9848759830611011,0.8995215311004785
0.07258650741793893,0.975,0.11374642761641895,0.9567099567099567,0.990068562210123,0.9065420560747663
0.0577940656888214,0.9792613636363636,0.1381147885937002,0.9523809523809523,0.9839937487396653,0.8962264150943396
0.05537482836199078,0.98125,0.11007333808534202,0.9588744588744589,0.9885057471264367,0.9116279069767442
0.046750695478509775,0.9840909090909091,0.11309268388058587,0.9653679653679653,0.9874974793305102,0.9259259259259259
0.04677738900381056,0.9857954545454546,0.13409509093932065,0.9632034632034632,0.9849263964508973,0.919431279620853
0.03400866790589961,0.9897727272727272,0.1347194058554513,0.9632034632034632,0.985178463399879,0.919431279620853
0.03742583731020039,0.9894886363636364,0.12343860950796699,0.9675324675324676,0.9859850776366202,0.9295774647887324
